feature,importance
position_disorder,0.11258136
esm2_rank_ref,0.0714708
esm2_llr,0.058954958
relative_position,0.04700586
local_disorder,0.046203278
local_proline_frac,0.041776773
esm2_entropy,0.036945987
esm2_alt_logprob,0.036071286
esm2_ref_logprob,0.03524169
local_p_pi,0.034723453
polarity_change_polar_to_nonpolar,0.03424969
local_p_lock,0.034022268
destroys_proline,0.03270819
local_p_polar,0.032226272
local_glycine_frac,0.030361222
local_qn_frac,0.029735245
local_charge_density,0.027152922
local_hydrophobicity,0.024990777
local_aromatic_density,0.024296477
charge_change_neutral,0.02237683
size_change,0.022149622
local_beta_propensity,0.01999324
aromatic_change_none,0.018312177
grantham_distance,0.017240549
esm2_rank_alt,0.016750233
creates_proline,0.016595876
blosum62,0.016048927
hydrophobicity_change,0.01455695
is_sticker,0.013677157
polarity_change_same,0.010360905
aromatic_change_loss,0.008628106
creates_glycine,0.006344171
charge_change_charge_gain,0.006246725
in_idr,0.0
charge_change_charge_loss,0.0
